key,en,pt-BR,es,fr,de,it,nl,fi,pl,cs,tr,ja,ko,hi
footer.lightningNetwork,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.linkedin,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.projectDescription,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.projectTitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.starOnGitHub,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.supportProject,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.tagline,T,T,T,T,T,T,T,T,T,T,T,T,T,T
footer.twitter,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.keyMessage,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem1.text,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem1.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem2.text,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem2.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem3.text,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.problem3.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.scrollDown,T,T,T,T,T,T,T,T,T,T,T,T,T,T
hero.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.contribution,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.insight,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.top10,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.top100,T,T,T,T,T,T,T,T,T,T,T,T,T,T
keyDays.top50,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.conclusion,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.what,T,T,T,T,T,T,T,T,T,T,T,T,T,T
longTerm.why,T,T,T,T,T,T,T,T,T,T,T,T,T,T
main.dcaSimulation,T,T,T,T,T,T,T,T,T,T,T,T,T,T
main.ifYouHadInvested,T,T,T,T,T,T,T,T,T,T,T,T,T,T
main.monthlyProgression,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line1,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line2,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line3,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line4,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line5,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line6,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line7,T,T,T,T,T,T,T,T,T,T,T,T,T,T
manifesto.line8,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.about,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.dca,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.keyDays,T,T,T,T,T,T,T,T,T,T,T,T,T,T
navigation.overview,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.currentMonth,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.daysLateral,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.daysNegative,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.daysPositive,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.loadMore,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.months,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.of,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.recentMonths,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regime,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.BEAR,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.BULL,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.LATERAL,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.regimes.N/A,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.showAll,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.showing,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.subtitle,T,T,T,T,T,T,T,T,T,T,T,T,T,T
overview.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
settings.currency,T,T,T,T,T,T,T,T,T,T,T,T,T,T
settings.language,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.conclusion,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.intro,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.title,T,T,T,T,T,T,T,T,T,T,T,T,T,T
shortTerm.warning,T,T,T,T,T,T,T,T,T,T,T,T,T,T
